S.No.,Name of the EV Charging Station (Private / Public Charging Infra),State,District,Address,Latitude,Longitude,Name of the Owning Organisation/ Person
1,K Krishnarjun Rao Filling Station IOCL,Telangana,Bhadradri Kothagudem,National Highway 221 Nakiripeta Telangana-507114,17.6420704,80.7100788,TATA Power Company Limited
2,"IOCL-Sri Ravi FS, Palvancha",Telangana,Bhadradri,"Indira Nagar Colony, Khammam Vil-221,Kothagudem, Bhadrachalam, Telangana-507115",17.5987811,80.704213,TATA Power Company Limited
3,IOCL Orugallu FS,Telangana,Hanamkonda,Humar Road shyampet Hanumakonda Telangana-506001,17.9852518,79.5716457,TATA Power Company Limited
4,IOCL Balaji FS Yellapur,Telangana,Warangal,Warangal Karimnagar Hwy Yellapur Telangana-506731,18.0879889,79.0023376,TATA Power Company Limited
5,IOCL Kindhula pullaiah Oil FS,Telangana,Bhadradri Kothagudem,Aswapuram Telangana-507116,17.8408068,80.8265143,TATA Power Company Limited
6,IOCL Balaji Service Station Khamman,Telangana,Khammam,Khammam Urban Khammam dist Telangana-507003,17.2505731,80.1425963,TATA Power Company Limited
7,IOCL Vishwambhara FS,Telangana,Mahaboobnagar,Warangal,18.1868759,79.6998741,TATA Power Company Limited
8,IOCL Sudhakar SS Huzurabad,Telangana,Karimnagar,Huzurabad karimnagar dist Telangana-505468,18.2018989,79.3945188,TATA Power Company Limited
9,IOCL Sri venkareshwara FS Banswada,Telangana,Kamareddy,Banswada Kamareddy Telangana- 503187,18.3952655,77.87759,TATA Power Company Limited
10,IOCL Santosh SS Vemulawada,Telangana,Rajanna Sircilla,Vemulawada Telangana-505302,18.4598342,78.8657356,TATA Power Company Limited
11,IOCL Sai baba Filling point varni,Telangana,Nizamabad,Varni S N Puram Nizamabad Telangana,18.5326769,75.7871246,TATA Power Company Limited
12,IOCL Sri Ramakrishna FS Manthani Peddapally,Telangana,Karimnagar - Peddapalli,Manthani Peddapally Area Telangana-505184,18.6452,79.6684,TATA Power Company Limited
13,IOCL Janapriya FS Yellandu,Telangana,Bhadradri Kothagudem,Yellandu Bhadradri Kothagudem Telangana-507123,17.5844055,80.0659615,TATA Power Company Limited
14,IOCL Shiva Sai filling station (KSK) Gandhari,Telangana,Nizamabad,Gandhari kamareddy Nizamabad Telangana -503114,18.7443833,77.7159756,TATA Power Company Limited
15,IOCL Sri laxmi narasimha swamy Filling st Birkoor,Telangana,Nizamabad,"Bikroor, Kamareddy Nizamabad Telangana-503321",18.4569676,77.79995457,TATA Power Company Limited
16,IOCL Prakash FS Nizamabad,Telangana,Nizamabad,Nizamabad Lalitha Telangana- 503001,18.6840417,78.0042703,TATA Power Company Limited
17,IOCL AP prison Department,Telangana,Warangal,"Mattewada, Warangal urban Telangana-506001",17.9945389,79.525725,TATA Power Company Limited
18,IOCL sri sai venkateshwara FS Tekulpally,Telangana,Bhadradri Kothagudem,Khammam Telangana-507123,17.5596926,80.4792957,TATA Power Company Limited
19,IOCL Yadadri Filling station,Telangana,Warangal,Warangal,17.9948936,79.4206553,TATA Power Company Limited
20,Kona Vijay shankar filling station,Telangana,Malkajgiri Medchal,"Survey No. 227/1Bahadurpalle Village Qutubullapur Mandal, Telangana-500043",17.5613,78.4282,TATA Power Company Limited
21,Srinidhi Service station Nizampet,Telangana,Ranga Reddy,"Survey No.305 Nizampet Village Qutubullapur madal, Telangana- 500049",17.5174,78.3786,TATA Power Company Limited
22,Srinidhi Service station Nizampet,Telangana,Ranga Reddy,"Survey No.305 Nizampet Village Qutubullapur madal, Telangana- 500049",17.5174,78.3786,TATA Power Company Limited
23,"Kona Vijay shankar filling station, Bahadurpalle",Telangana,Malkajgiri Medchal,"Survey No. 227/1Bahadurpalle Village Qutubullapur Mandal, Telangana-500043",17.5613,78.4282,TATA Power Company Limited
24,SLNS FS Rangareddy Nanakramguda,Telangana,Ranga Reddy,"Survey No. 148/2, Nanakramguda serilingampally mandal Rangareddy dist telangana-500032",17.4196,78.3501,TATA Power Company Limited
25,SLNS FS Rangareddy Nanakramguda,Telangana,Ranga Reddy,"Survey No. 148/2, Nanakramguda serilingampally mandal Rangareddy dist telangana-500032",17.4196,78.3501,TATA Power Company Limited
26,Tejaswi Automobiles Siddipet,Telangana,Siddipet,"S.F. No. 198/3 Hyderabad Road, Pannala, beside HP petrol pump siddipet telangana-502103",18.1018,78.852,TATA Power Company Limited
27,OPDSS Hotels &Resorts NH 65 Budhera,Telangana,Sanga Reddy,"NH 65 Near kamkol roll plaza Budhera, marpally road, telangana- 502345",NA,NA,TATA Power Company Limited
28,"Hotel vididhi, kothagudem",Telangana,Nalgonda,"survey no. 173/2 174/6 state
highway 2 Nam expressway miryalguda highway, modgulapally",16.9918,79.4406,TATA Power Company Limited
29,Synergy car case champapet,Telangana,Ranga Reddy,"17-1+386/A/2/10, mallareddy complex beside SN reddy gardens sagar road champaper Hyderabad",17.3463,78.5196,TATA Power Company Limited
30,OPDSS Hotels & Resorts Kanimetta,Telangana,Wanaparthy,"NH 44 Bangalore Hyderabad Hway mandal Kothakota kanimetta, Telangana-509381",16.426258,77.939407,TATA Power Company Limited
31,Orange Auto Attapur,Telangana,Ranga Reddy,"opp pillar No.92, Door no. 13-6- 432/A Gudimalkapur Attapur, Hyderabad-500028",17.38,78.4269,TATA Power Company Limited
32,Orange Auto Medchal,Telangana,Medchal Malkajgiri,Plot No.1 to 10 shree enclave athwelly village  medchal Hyderabad-501401,17.6467,78.4385,TATA Power Company Limited
33,IOCL PSVL FS Mungala Mandal,Telangana,Suryapet,Barakathgudem vilage mungala mandal suryapet dist Telangana- 508201,17.0303,79.8545,TATA Power Company Limited
34,IOCL Sri durgamata Nalgonda mandal,Telangana,Nalgonda,"IOCL dealer sy No. 350/Kha GV fudem, N# 65 Nalgonda Mandal Telangana-508001",17.0214664,79.2377007,TATA Power Company Limited
35,IOCL Rajyalaxmi FP Mahaboobnagar,Telangana,Mahaboobnagar,NA,16.7650391,78.1253426,TATA Power Company Limited
36,IOCl Durga Indhan Kando NH 9,Telangana,Sanga Reddy,"Sy No.809, Kandi village sangareddy mandal Telangana- 502285",17.5590633,78.0551691,TATA Power Company Limited
37,IOCL Sai ratna Ro DVK Road,Telangana,Nalgonda,Indian oil dealer Sy No.128 DVK Road Nalgonda town Telangana- 508001,17.0433256,79.2640436,TATA Power Company Limited
38,IOCL Sri sangameshwara FS Narayankhed,Telangana,Sanga Reddy,"Survey No.29/2AA H.No.2-3-153
Narayankhed Sangareddy dist Telangana",18.0363502,77.7775758,TATA Power Company Limited
39,IOCL RP FS Kattanagoor,Telangana,Nalgonda,"Indian oil dealer sy no. 28-32 Pamanagundla (V), kattanagoor
(M) Telangana-508205",17.1784052,79.2578581,TATA Power Company Limited
40,IOCL Sri Sai Raghava Sangareddy,Telangana,Sanga Reddy,Sy No. 123/AA Sangareddy Telangana-502001,17.6189498,78.093581,TATA Power Company Limited
41,IOCL Laxmi Narasimha sadasivpet,Telangana,Sanga Reddy,NH. 65 survey No. 35/AA Suraram sadasivpet sangareddy Telangana-502291,17.6279308,77.9058223,TATA Power Company Limited
42,IOCL Express way FS Malkapur,Telangana,Sanga Reddy,Indian Oil dealer sy no. 210 malkapur village Telangana- 502295,17.5972051,78.0538113,TATA Power Company Limited
43,IOCL Sri sai FS Malkapur,Telangana,Sanga Reddy,Sy No. 369 malkapur kondapur sangareddy Telangana-502994,17.5993067,78.0493584,TATA Power Company Limited
44,S4 Food court,Telangana,Siddipet,SH I sy No. 9/10 Rimmanaguda village Telangana-502312,17.8625,78.7413,TATA Power Company Limited
45,IOCL Sri Balaji FS Huzurnagar,Telangana,Nalgonda,sy No. 243/A1 Gopalapuram (v) Huzurnagar Telangana 508204,16.9125607,79.8452118,TATA Power Company Limited
46,IOCL 7 Hills FS Jedcharla,Telangana,Mahaboobnagar,Dhaba opp police s Trg center jadcherla Telangana-509301,16.7936602,78.1401494,TATA Power Company Limited
47,IOCL Raja Rajeshwari FS Jogipet,Telangana,Medak,sy No. 86 jogipet medak dist Telangana-502273,17.9019942,77.9805793,TATA Power Company Limited
48,IOCL Garine Koteshwara Rao & Co Kodada,Telangana,Suryapet,Main Road Khammam X Road Kodada Telangana-508206,16.9943051,79.9741113,TATA Power Company Limited
49,IOCL Sainath Filling station medak,Telangana,Sanga Reddy,Kohir X Roads (GTK-2006) Medak Dist Telangana-502321,17.6608051,77.7224113,TATA Power Company Limited
50,Select cars SVP Road,Telangana,Warangal,No. 15-1-315 Sri Vishnu priya coplex SVP road (NH 163)beside Ramakrishna Theater,17.7992,79.5856,TATA Power Company Limited
51,"Sree venkateshwara Motors, Bargaon",Telangana,Nizamabad,"No. 1/4, 1A Hyderabad Road Bargaon madhavngar Nizamabad, Telangana-503230",18.6564,77.8599,TATA Power Company Limited
52,"Sree venkateshwara Motors, Adilabad",Telangana,Adilabad,"No. 1/4, 1A Hyderabad Road Bargaon madhavngar Nizamabad, Telangana-503230",18.561,77.2459,TATA Power Company Limited
53,"Sree venkateshwara Motors, Nirmal",Telangana,Nirmal,"No. 1/4, 1A Hyderabad Road Bargaon madhavngar Nizamabad, Telangana-503230",19.0822,78.3609,TATA Power Company Limited
54,"Sree venkateshwara Motors, Kamareddy",Telangana,Kamareddy,"No. 1/4, 1A Hyderabad Road Bargaon madhavngar Nizamabad, Telangana-503230",17.9969,78.1566,TATA Power Company Limited
55,Sree venkateshwara Motors Ayesh gardens,Telangana,Nizamabad,4-1-16/2 opp Ayesh garden Achanpally Bodhan,18.6785,77.9165,TATA Power Company Limited
56,IOCL Adhoc AP Prison,Telangana,Warangal,Humar Road FS X HSH+6x2 Ramannapet Warangal Telangana- 506002,17.980503,79.5770141,TATA Power Company Limited
57,IOCl Sai SS Elakaturty,Telangana,Mahaboobnagar,Elkaturty warangal urban dist karimnagar-505476,18.0962919,79.4460323,TATA Power Company Limited
58,IOCL Sai leela FS Kundanpally,Telangana,Karimnagar,"sy No. 301, Kundanpally Ramagundam karimnagar dist Telangana",18.482853,77.9489108,TATA Power Company Limited
59,IOCL Sri vyshnavi service station -sathupally,Telangana,Khammam,Kistaram sattupalli Khammam dist Telangana,17.2094711,80.7634149,TATA Power Company Limited
60,IOCL Man air petro FS,Telangana,Karimnagar,Sy.2-60 291/A Karimnagar town Telangana-505001,18.4377226,78.8486702,TATA Power Company Limited
61,IOCL  Shiva sai filling point Hanamkonda,Telangana,Warangal,Waddepally Hanmakonda warangal urban Telangana-506370,17.991101,79.5333041,TATA Power Company Limited
62,IOCL NSLV Auto service,Telangana,Khammam,NA,17.1554657,79.8321764,TATA Power Company Limited
63,"IOCL - Sri Sainath Filling Station, Mavala",Telangana,Adilabad,"IOCL - Sri Sainath Filling Station, Mavala,Mavala,S V Hanuman,Adilabad",19.6466277,78.5135097,TATA Power Company Limited
64,"IOCL - UNI TRADERS, Itikyal
Mandal",Telangana,"Jogulamba, Gadwal","IOCL - UNI TRADERS, Itikyal
Mandal,Itikyal,Itikyal,Jogulamba, Gadwal",15.9181493,78.0164394,TATA Power Company Limited
65,"IOCL  Raghu Vamsi Fs, Mahabubnagar",Telangana,Mahabubna gar,"IOCL  Raghu Vamsi Fs, Mahabubnagar,Alampur,Mahabub nagar,Mahabubnagar",16.7614385,78.0563851,TATA Power Company Limited
66,"TML Venkata ramana Motors, Kukatpally",Telangana,Medchal,"TML Venkata ramana Motors, Kukatpally,Kukatpally,Kukatpally, Balanagar,Medchal",17.4881622,78.3859159,TATA Power Company Limited
67,"TML Venkataramana Motors, Vikarabad",Telangana,Vikarabad,"TML Venkataramana Motors, Vikarabad,Dannaram,Vikarabad,V ikarabad",17.4248759,78.4091293,TATA Power Company Limited
68,"TML Venkataramana Motors, Thandur",Telangana,Vikarabad,"TML Venkataramana Motors, Thandur,Thandur,Thandur,Vikara bad",17.2850506,77.5010502,TATA Power Company Limited
69,"Venkataramana Motors, Gachibowli",Telangana,Hyderabad,"Venkataramana Motors, Gachibowli,Gachibowli,Gachibow li,Hyderabad",17.4637693,78.3572892,TATA Power Company Limited
70,"IOCL - SRI SAI RAGHAVA,
Sangareddy",Telangana,Hyderabad,"Sangareddy,Sangareddy,Sangared dy","17.5993016,",78.0515471,TATA Power Company Limited
71,"IOCL - Bhargavl Fs, Mahabubabad",Telangana,Hyderabad,"Mahabubabad,Mahabubabad,Mah abubabad",17.6022189,80.0060226,TATA Power Company Limited
72,IOCL-JalGanesh Fs,Telangana,Hyderabad,"N. Venkatpuram(Mulugu),N. Venkatpuram(Mulugu),N. Venkatpuram(Mulugu)",18.3121621,80.5483282,TATA Power Company Limited
73,"IOCL - Ganapathy Fs, Jaipur",Telangana,Hyderabad,"Chennur,Chennur,Chennur",18.8757438,79.4088339,TATA Power Company Limited
74,IOCL - Police Petrol Pump,Telangana,Hyderabad,"Adilabad Town,Adilabad Town,Adilabad Town",19.669739,78.522022,TATA Power Company Limited
75,IOCL - Chakka Venkata Subba Rao,Telangana,Hyderabad,"Bhadrachalam,Bhadrachalam,Bha drachalam",17.672802,80.888879,TATA Power Company Limited
76,"IOCL • Onkar Roadlines FP, Andagullapally,",Telangana,Hyderabad,"Peddapalli,Peddapalli,Peddapalli",18.6172266,79.4101607,TATA Power Company Limited
77,"IOCL - Kalyani Fs, Oglapur",Telangana,Hyderabad,"Damera (Hanamkonda
Rural),Damera (Hanamkonda Rural),Damera (Hanamkonda Rural)",18.0310952,79.552493,TATA Power Company Limited
78,"IOCL - Coco Malleboinapally, Mahabubnagar",Telangana,Hyderabad,"Mahabubnagar,Mahabubnagar,Ma habubnagar",16.9388512,78.1818625,TATA Power Company Limited
79,"IOCL - Hitech Fp, Mahabubnagar",Telangana,Hyderabad,"Mahabubnagar town III,Mahabubnagar town III,Mahabubnagar town III",16.7471237,77.9803768,TATA Power Company Limited
80,"IOCL - Raja Rajeshwara F/P, Gangadhara",Telangana,Hyderabad,"Gangadhara,Gangadhara,Karimna gar",18.5659834,78.9872236,TATA Power Company Limited
81,IOCL - Abhirama As,Telangana,Hyderabad,"Khammam,Khammam,Khamma m",17.5023269,78.4228867,TATA Power Company Limited
82,"Raju gari Ruchulu Highway Restaurants, NH65",Telangana,Hyderabad,"Raju gari Ruchulu Highway Restaurants, NH65, Suryapet",17.1556787,79.597399,TATA Power Company Limited
83,7 Food Court (People Combine Pvt Ltd),Telangana,Hyderabad,"7 Food Court (People Combine Pvt Ltd), Suryapet",17.1507847,79.5726457,TATA Power Company Limited
84,Kun Hyundai - Lakshmi Hyundai,Telangana,Hyderabad,"Kun Hyundai - Lakshmi Hyundai, Auto Nagar Saroornagar",17.3469405,78.5496547,TATA Power Company Limited
85,"IOCL - SRI RENUKA YELLAMMA FS,
Lingareddypally",Telangana,Hyderabad,"IOCL - SRI RENUKA YELLAMMA FS,
Lingareddypally",18.0803034,78.8106496,TATA Power Company Limited
86,"TML-Select Cars, Hyderabad Rd - Kothirampur",Telangana,Hyderabad,"Karimnagar Town,Karimnagar Town,Karimnagar Town",18.4194114,79.1271112,TATA Power Company Limited
87,"TML-Venkataramana Motors, ECIL",Telangana,Hyderabad,"ECIL,ECIL,Medchal Malkajgiri",17.5023269,78.4228867,TATA Power Company Limited
88,"TML-Sri Venkataramana Motors, Hyderabad Road",Telangana,Hyderabad,"Rajampet ,Rajampet ,Kamareddy",18.0777531,78.1304549,TATA Power Company Limited
89,"TML-Venkataramana Motors, Vansthalipuram",Telangana,Hyderabad,"Vanasthalipuram,Vanasthalipuram
,Hyderabed",17.4198717,78.4207402,TATA Power Company Limited
90,Sri Sai Family & Kanchetty Restaurant,Telangana,Nizamabad,"Sri Sai Family & Kanchetty Restaurant, Mittapally Village, Dichapally, Nizamabad",18.631857,78.1379628,TATA Power Company Limited
91,Plot Doc. No: 7519/2019,Telangana,Jangaon,"Plot Doc. No: 7519/2019,Chagal
,Station Ghanpur,Jangaon",NA,NA,Sri Kartikeya EV Motors Pvt Ltd
92,"Co-Operative Bank colony, Nagole (V), Uppal Mandal, Medchal-Malkajgiri (DT)",Telangana,Medchal Malkajgiri,"Co-Operative Bank colony, Nagole (V), Uppal Mandal, Medchal- Malkajgiri (DT)",17.370208,78.561387,TTL Electric Fuel Pvt Ld
93,CJG Filling Station,Telangana,Medchal Malkajgiri,"CJG Filling Station,Bandlaguda,Uppal,Medch al Malkajgiri",17.3706926,78.5683471,Bharath Petroleum Corporation Limited
94,"M/s. Filmore - BPCL Dealer, Attapur, Opp. Piller No. 137",Telangana,Hyderabad,"M/s. Filmore - BPCL Dealer,
Attapur, Opp. Piller No. 137,Attapur,Rajendranagar,Hyder abad",17.3657827,78.4281923,Bharath Petroleum Corporation Limited
95,"Mailardevpally, Rajendranagar",Telangana,Hyderabad,"Mailardevpally, Rajendranagar,Mailardevpally,Raj endranagar,Hyderabad",17.31558,78.454251,Magenta EV Solutions Pvt Ltd
96,"Puppalguda Village, Sy No.297, Gandipet, Narsingi",Telangana,Hyderabad,"Puppalguda Village, Sy No.297, Gandipet, Narsingi,Ranga Reddy",17.2417.0N,78.2000.1 E,Fresh Bus Private Limited
97,"Opp 7 Food court, Suryapet, Telangana.",Telangana,Suryapet,"Opp 7 Food court, Suryapet, Telangana.",17.150332,79.575811,UPMEDIA Solutions
98,"Khalender Nagar Community Hall, Santosh Nagar, Circle-7, GHMC Charminar Zone.",Telangana,Hyderabad,"Khalender Nagar Community Hall, Santosh Nagar, Circle-7, GHMC Charminar Zone.",17°20'43.5,78°30'18.8,ETO Motors Private Limited
99,"Moghalpura Sports Complex, Moghalpura, Circle-9, GHMC Charminar Zone.",Telangana,Hyderabad,"Moghalpura Sports Complex, Moghalpura, Circle-9, GHMC Charminar Zone.",17°21'29.8,78°28'38.2,ETO Motors Private Limited
100,"1-111, Dammaiguda, Hyderabad
- 500083",Telangana,Hyderabad,"1-111, Dammaiguda, Hyderabad - 500083","17.502822,",78.588377,SUN Mobility Private Limited
101,"Sushine Farmhouse, Kandukur village, Ranga Reddy Dist,",Telangana,Hyderabad,"Sushine Farmhouse, Kandukur village, Ranga Reddy Dist,",17.030953,78.4883894,BPN Projects Pvt Ltd
102,"H.No.3-18, Mannanoor",Telangana,Nagar Kurnool,"H.No.3-18, Mannanoor, Amrabad, Nagarkurnool",16.2102,78.4503,Samisthi Aranya Resort
103,"Baba Nagar, Nacharam X Roads",Telangana,Medchal - Malkajgiri,"Baba Nagar, Nacharam X Roads, medchal  malkajgiri",17.435672,78.55325,Manikya Anoop Kumar (Domestic)
104,Bharath Petroleum Batasingaram Village.,Telangana,Ranga Reddy,"Bharath Petroleum Batasingaram Village, Abdullapur, Rangareddy",17.307435,78.72375,Bharath Petroleum Corporation Limited
105,"5-3-32/2, Near Ramalayam Temple, Kukatpally",Telangana,Hyderabad,"5-3-32/2, Near Ramalayam Temple, Kukatpally, ranga reddy",17.4868829,78.41323,SUN Mobility Private Limited
106,TSRTC Ranigunj Bus Depot,Telangana,Hyderabad,"TSRTC Ranigunj Bus Depot, Ranigunj, Secunderabad, Hyderabad-500003",17.4323664,78.48678444,TSRTC Ranigunj Bus Depot
107,TSRTC Kukatpally Bus Depot,Telangana,Hyderabad,"TSRTC Kukatpally Bus Depot, Kukatpally, Moosapet 4
Junction,Hyderabad - 500048",17.47337,78.42577,TSRTC Kukatpally Bus Depot
108,TSRTC Jeedimetla Bus Depot,Telangana,Hyderabad,"TSRTC Jeedimetla Bus Depot, Jedimetla, Hyderabad - 500055",17.52825,78.439629,TSRTC Jeedimetla Bus Depot
109,TSRTC Musheerabad 2 Bus Depot,Telangana,Hyderabad,"TSRTC Musheerabad-2 Bus Depot,  Musheerabad, Hyderabad - 500020",17.406853,78.50325,TSRTC Musheerabad Bus Depot
110,TSRTC Hayathnagar 2 Bus Depot,Telangana,Hyderabad,"TSRTC Hayathnagar-2  Bus Depot, Hayath Nagar, Hyderabad - 501505",17.324934,78.5942843,TSRTC Hayathnagar Bus Depot
111,TSRTC BHEL Depot,Telangana,Hyderabad,"Hayathnagar, Hyderabad-R. C. Puram,
Hyderabad - 500032",17.5193979,78.29122066,TSRTC BHEL Depot
112,"5-1-145/2, Plot No.99,
Annapurna Colony,Meerpet Village, Uppal",Telangana,Hyderabad,"5-1-145/2, Plot No.99, Annapurna Colony,Meerpet Village, Uppal","17.442974,",78.566754,SUN Mobility Private Limited
113,"H.No.3-145,Srinivas Colony, Near Gandhi Statue, Saroornagar",Telangana,Hyderabad,"H.No.3-145,Srinivas Colony, Near Gandhi Statue, Saroornagar","17.354269,",78.532134,SUN Mobility Private Limited
114,"Survey No.193, Sri devi Kalyan Estate, Yapral village",Telangana,Ranga Reddy,"Survey No.193, Sri devi Kalyan Estate, Yapral village","17.500601,",78.539632,SUN Mobility Private Limited
115,"Plot No. 26&27, Thokatta Village, Bowenpally, Secunderabad",Telangana,Ranga Reddy,"Plot No. 26&27, Thokatta Village, Bowenpally, Secunderabad","17.465531,",78.48146,SUN Mobility Private Limited
116,"No. 10-3/A, Raju Colony, Balanagar",Telangana,Ranga Reddy,"No. 10-3/A, Raju Colony, Balanagar","17.464829,",78.45528,SUN Mobility Private Limited
117,"Shop No. 36, H.No.8-4-
315/6/1/B/36, B Laxmi Complex, Fatehnagar, Erragadda",Telangana,Ranga Reddy,"Shop No. 36, H.No.8-4-
315/6/1/B/36, B Laxmi Complex, Fatehnagar, Erragadda","17.457491,",78. 43287,SUN Mobility Private Limited
118,"H.No. 12-13-686, Nagarjuna nagar, Near Community Hall, Tarnaaka",Telangana,Ranga Reddy,"H.No. 12-13-686, Nagarjuna nagar, Near Community Hall, Tarnaaka","17.4278833,",78.54341,SUN Mobility Private Limited
119,"No. 42-819, Old moulali, Malkajgiri",Telangana,Medchal Malkajgiri,"No. 42-819, Old moulali, Malkajgiri","17.462147,",78.560244,SUN Mobility Private Limited
120,TSRTC Hayatnagar 1 Depot,Telangana,Ranga Reddy,TSRTC Hayatnagar 1 Depot,"17.326522,",78.592616,TSRTC Hayatnagar 1
121,TSRTC  Kachiguda Bus Depot,Telangana,Hyderabad,TSRTC  Kachiguda Bus Depot,"17.38667,",78.49854,TSRTC  Kachiguda Bus Depot
122,TSRTC  HCU Bus Depot,Telangana,Hyderabad,TSRTC  HCU Bus Depot,"17.468928,",78.33085,TSRTC  HCU Bus Depot
123,"Sandeep Road carriers,",Telangana,Medchal Malkajgiri,"Sandeep Road carriers,Bharath Petroleum Corp Ltd  Medchal Village","17.613048,",78.487654,BPCL
124,Sri lakshmi Venkateshwara Fuels,Telangana,Jogulamba Gadwal,"Sri lakshmi Venkateshwara Fuels,
Bharath Petroleum Corp Ltd, Narayanapuram Village, Jogulamba Gadwal Dist",16.019617,77.950312,BPCL
125,S.S Enterprises,Telangana,Wanaparthy,"S.S Enterprises, Bharath Petroleum Corp Ltd, Rangapur Village, Wanaparthy Dist",16.167584,77.951031,BPCL
126,Tuba filling station,Telangana,Ranga Reddy,"Tuba filling station, Bharath Petroleum Corp Ltd, Palmakole, Ranga Reddy dist",17.189757,78.309087,BPCL
127,BP Ameerpet,Telangana,Hyderabad,"BP Ameerpet, Bharath Petroleum Corp Ltd, Ameerpet, Hyderabad",17.437549,78.442743,BPCL
128,Bandi Laxmikanthamma FS,Telangana,Medchal Malkajgiri,"Bandi Laxmikanthamma FS, Bharath Petroleum Corp Ltd, Aushapur Village, Ghatkesar",17.463766,78.729394,BPCL
129,Lalitha Fuel Point,Telangana,Ranga Reddy,"Lalitha Fuel Point, Bharath Petroleum Corp Ltd, Raidurg, Gachibowli",17.418394,78.388416,BPCL
130,Shabnams,Telangana,Ranga Reddy,"Shabnams Bharath Petroleum Corp Ltd, , Chintalkunta Old check post, L B Nagar,",17.342592,78.559211,BPCL
131,Vamsi Fuel Point,Telangana,Ranga Reddy,"Vamsi Fuel Point Bharath Petroleum Corp Ltd, Gandipet Main Road",17.380681,78.41011,BPCL
132,SVS Convention Velmalapally gate,Telangana,Nagarkurno ol,"SVS Convention Velmalapally gate, Vangoor mandal, Srisailam Highway",16.637313,78.635139,SVS Convention
133,Khairatabad RTA inside the premises,Telangana,Hyderabad,Khairatabad RTA inside the premises,17.416693,78.458028,Sunrise Services Private Limited
134,TSRTC Mehdipatnam Bus Depot,Telangana,Hyderabad,TSRTC Mehdipatnam Bus Depot,17.392238,78.440967,TSRTC Mehdipatnam Bus Depot
135,Vishnu Shopping Mall,Telangana,Nalgonda,"Vishnu Shopping Mall, Nagarjuna Sagar Road, Kondamallepalli Village",16.7121,78.9815,BPN Projects Pvt Ltd
136,Venkata Lakshmi Srinivasa Fuels,Telangana,Ranga Reddy,"Venkata Lakshmi Srinivasa Fuels, Raikal Village, Farooqnagar Mandal",16.98515,78.174615,BPCL
137,Prabhuleela Filling Station,Telangana,Ranga Reddy,"Prabhuleela Filling Station, Bharath Petroleum Corp Ltd, Majeedpu Village",17.637986,78.569584,BPCL
138,Sri Venkateshwara Fuels,Telangana,Ranga Reddy,"Sri Venkateshwara Fuels, Bharath Petroleum Corp Ltd, Ibrahimpatnam Village",17.182251,78.651562,BPCL
139,Highway 79 Gas Station,Telangana,Mahabunaga r,"Highway 79 Gas Station, Bharath Petroleum Corp Ltd, Jadcherla Village",16.789396,78.138798,BPCL
140,Abhinandan Fuel Station,Telangana,Ranga Reddy,"Abhinandan Fuel Station, Bharath Petroleum Corp Ltd, Muraharipally Village",17.675637,78.58835,BPCL
141,Sarang Autolines,Telangana,Nizamabad,"Sarang Autolines, Bharath Petroleum Corp Ltd,Dichpally Village",18.58824,78.223664,BPCL
142,BP- Adilabad-1,Telangana,Adilabad,"BP- Adilabad-1 Bharath Petroleum Corp Ltd, Bhoraj Village",19.741383,78.547314,BPCL
143,Golf View Apartment parking space,Telangana,Ranga Reddy,"Golf View Apartment parking space No.B-25 & 25A, Nanakramguda, Serilingampally",17.420865,78.352304,Mr. Harsh Shukla (Individual)
144,"Beside NH 65, Sy No. 256/2/1/2, Barakath gudem, Munagala, Suryapet",Telangana,Suryapet,"Beside NH 65, Sy No. 256/2/1/2, Barakath gudem, Munagala, Suryapet",,,G & T EV Charging Station and Food Court
145,Amadabakula Filling Station,Telangana,Wanaparthy,"Amadabakula Filling Station, BPCL Amadabakula Village, kothakota, Vanaparthy",16.334946,77.949612,BPCL
146,DKR Alivelamma Filling Station,Telangana,Mahabubna gar,"DKR Alivelamma Filling Station, BPCL, Sankalmandi Village",16.587259,77.966811,BPCL
147,"G M Service Station, Bharath Petroleum Corp Ltd, Ghatkesar Village",Telangana,Medchal malkajgiri,"G M Service Station, Bharath Petroleum Corp Ltd, Ghatkesar Village, Medchal malkajgiri",17.446439,78.681975,BPCL
148,"Garuda Filling Station, Bharath Petroleum Corporation Ltd, Gagillapur Village",Telangana,Medchal Malkajgiri,"Garuda Filling Station, Bharath
Petroleum Corporation Ltd, Gagillapur Village, Dundigal, Medchal Malkajgiri",17.616402,78.387838,BPCL
149,"Hill Top Filling Station, Bharath Petroleum Corp Ltd, Shaikpet Village, Hyderabad Dist",Telangana,Hyderabad,"Hill Top Filling Station, Bharath Petroleum Corp Ltd, Shaikpet Village, Hyderabad Dist",17.410167,78.399729,BPCL
150,"Maruthi Filling Station, Bharath Petroleum Corporation Ltd, Thirumalagiri Village",Telangana,Nagarkurno ol,"Maruthi Filling Station, Bharath
Petroleum Corporation Ltd, Thirumalagiri Village, Vangoor Nagarkurnool",16.565556,78.683013,BPCL
151,"S.V. Goud Fuel Point, Bharath Petroleum Corporation Ltd, Jillelaguda Village",Telangana,Ranga Reddy,"S.V. Goud Fuel Point, Bharath Petroleum Corporation Ltd, Jillelaguda Village, Saroornagar,",17.335297,78.521142,BPCL
